"datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"2013-03-26 11:05:00","coventry (uk/england)","","gb","cigar","4.0","4 seconds","A cigar shaped object with lights and yellow visor appearing in the day over Coventry.","2013-05-15 00:00:00","52.416667","-1.55"
"2014-04-04 21:40:00","calgary (canada)","ab","ca","other","120.0","~2 minutes","2 and shortly after 4 semi-reflective &#39orbs&#39&#44  swept the sky from east to west.  They were white/grey.","2014-04-11 00:00:00","51.083333","-114.083333"
"2010-08-26 20:25:00","west springfield","ma","us","diamond","480.0","8 minutes","I reside on a small hillside location that opens up the view at night&#8230;So my view other than a few trees is unobstructed.On the nigh","2010-08-30 00:00:00","42.1013889","-72.5902778"
"2001-09-01 19:00:00","gig harbor","wa","us","cigar","120.0","2 min","blue silicon craft - cigar shape - est. size length of football field - white light radiating from mid point in length of craft","2009-03-19 00:00:00","47.3294444","-122.5788889"
"2010-08-26 21:00:00","chicago","il","us","sphere","60.0","1 min","Strange Craft Descends from Sky in Chicago and exits the night sky rapidly to the North East","2010-08-30 00:00:00","41.85","-87.65"
"2007-11-05 13:00:00","lincolnton","nc","us","cigar","300.0","5 min","cigar shaped ufo silver in color then flashed a bright light then vanished","2007-11-28 00:00:00","35.4736111","-81.2547222"
"2009-10-05 20:10:00","eagle","id","us","fireball","240.0","4 minutes","A bright fire ball light hovering in the lower sky over Boise Eagle  area.","2009-12-12 00:00:00","43.6955556","-116.3530556"
"2012-02-25 15:30:00","williamsburg","va","us","light","60.0","1:00","Flashing red lights that made no noise&#44 that just stood still&#44 some moved slowly and then dissapeared","2012-03-13 00:00:00","37.2705556","-76.7077778"
"1997-08-29 18:30:00","lyons","co","us","disk","120.0","2 minutes","Two High School Girls see silver disk move over town","1999-01-28 00:00:00","40.2247222","-105.2708333"
"2011-10-04 20:00:00","independence","mo","us","triangle","300.0","4 to 5 minutes","Hovering triangular craft with many lights seen in the night sky.","2011-10-10 00:00:00","39.0911111","-94.4152778"
"2002-04-10 23:00:00","barrie (canada)","on","ca","flash","45.0","45 sec","A zig zagging light at low altitude travelling east south east at a speed beyond human capability.","2002-05-14 00:00:00","44.383333","-79.7"
"2013-09-21 02:00:00","greenville","nc","us","disk","30.0","30 seconds","Glowing orange/yellow light in sky flew across and diss appeared instantly.","2013-09-30 00:00:00","35.6125","-77.3666667"
"2013-11-04 20:00:00","salt lake city","ut","us","circle","1800.0","30 minutes","Red glowing sphere that appears out of nowhere  hovers&#44 moves up","2013-11-11 00:00:00","40.7608333","-111.8902778"
"1964-08-14 23:00:00","portland","me","us","circle","3600.0","1 hour","Several UFOs seen by many&#44 reported on radio&#44 11PM Summer&#44 1963-1965 not sure of year.","2012-05-29 00:00:00","43.6613889","-70.2558333"
"2001-03-23 02:15:00","mumbai (india)","","in","oval","120.0","2min.","its great green glow.","2001-04-01 00:00:00","19.075984","72.877656"
"2002-06-17 20:30:00","adelaide (south australia)","","au","cylinder","600.0","10mins","I live appproximately 400 metres away from the Ocean&#44 this is not the first time I have seen usual craft.A good friend and I were lesur","2002-07-01 00:00:00","-34.928661","138.598633"
"2006-06-07 18:10:00","houston","tx","us","disk","180.0","3 min","Still in the sky&#44 gone in an instant","2006-07-16 00:00:00","29.7630556","-95.3630556"
"1978-06-15 23:00:00","madera","pa","us","fireball","600.0","10 minutes","Orange/yellow sphere of light without sound and traveled at intense accelleration with intelligence","2003-07-16 00:00:00","40.8283333","-78.4352778"
"2011-04-22 22:00:00","denver (west of)","co","us","other","1800.0","20-30 min.","large bright flashing object with pertruding light ray underneath west of denver travelling south west.","2011-05-02 00:00:00","39.7391667","-104.9841667"
"2003-08-30 21:15:00","boca raton","fl","us","circle","60.0","1 minute","While traveling home on a major highway in Boca Raton&#44 FL&#44 I saw a spaceship in the sky with a light coming out from the bottom.","2003-09-04 00:00:00","26.3583333","-80.0833333"
"2012-03-09 07:20:00","phoenix","az","us","light","720.0","12 min","5 UFO&#39s lined up holding still","2012-03-13 00:00:00","33.4483333","-112.0733333"
"2011-12-24 23:00:00","lenore","wv","us","changing","120.0","1-2 min","I saw  what looked like an aircraft at first.  It was flying east to west&#44 slowly.  As it came over me&#44 I realized one of the lights wa","2012-01-12 00:00:00","37.7988889","-82.2869444"
"1978-07-01 20:00:00","riverside","ca","us","triangle","600.0","10 minutes","3 triangular shaped ufos over an empty field in Riverside&#44 CA with beams of light searching the field; no noise&#44 no wind&#44 not copters","2003-09-04 00:00:00","33.9533333","-117.3952778"
"2009-10-28 21:30:00","santa clarita","ca","us","triangle","60.0","1 min","Triangle ufo over Santa Clarita. Possible man made&#33","2009-12-12 00:00:00","34.3916667","-118.5416667"
"2009-12-29 21:00:00","kittanning","pa","us","","30.0","30 seconds","Shooting star like a flare with a trail&#44 traveling north to south and then it burned out.  Space junk?","2010-02-14 00:00:00","40.8163889","-79.5222222"
"1999-09-05 01:30:00","grand view (near&#44 remote location in n. wisconsin)","wi","us","formation","300.0","5 minutes","Myself and approximately 15 others witnessed three lights moving in a triangle shaped formation for about 5-10 minutes.&#9;&#9;","1999-09-12 00:00:00","46.3675","-91.1080556"
"2011-06-01 04:00:00","highland village","tx","us","other","1200.0","20 minutes","UFO seen in highland village 500 ft. over lake lewisville lights were on then turned off.","2011-10-10 00:00:00","33.0916667","-97.0463889"
"2006-05-20 00:05:00","wilson","nc","us","circle","120.0","1-2 minutes","Unusual ball of light flashed in the sky","2006-07-16 00:00:00","35.7211111","-77.9158333"
"2003-11-20 18:00:00","marin","ca","us","cylinder","600.0","5 - 10 minutes","Bright&#44 yellow UFO crashes in California.","2003-11-26 00:00:00","38.083403","-122.763304"
"2013-10-24 19:40:00","lakeland","tn","us","light","30.0","30 seconds","Light seen makes a turn and disappears.","2013-11-11 00:00:00","35.2305556","-89.7402778"
"2009-07-27 21:20:00","old forge","ny","us","circle","120.0","2 minutes","craft was a silver circle with 6 distinct lights(2 green&#44 red and white)","2009-08-27 00:00:00","43.71","-74.9747222"
"2012-09-03 21:45:00","new cumberland","wv","us","triangle","600.0","10 minutes","Three red lights forming a triangle in the sky","2012-09-24 00:00:00","40.4966667","-80.6069444"
"2012-03-16 20:30:00","spotsylvania","va","us","circle","300.0","5 minutes","Orange round lights moving in formation in sky above Spotsylvania","2012-05-13 00:00:00","38.2008333","-77.5894444"
"2007-02-01 18:45:00","bowdoinham","me","us","triangle","30.0","30 seconds","An eqilateral triangle&#44 lit at the tips&#44 hovering just off I95 between Brunswick&#44 and Bodoinham ME at approximately 6:45pm.","2007-02-24 00:00:00","44.01","-69.8988889"
"2011-08-08 00:22:00","kingston upon hull (uk/england)","","gb","light","600.0","around 10 minutes","Star like object&#44 changed dir. randomly and dissapeared after a burst of speed.  ((NUFORC Note:  Correct date and time amended.  PD))","2011-08-07 00:00:00","53.716667","-0.333333"
"2005-06-02 22:15:00","cedar rapids","ia","us","other","10.0","10 seconds","Object heading direct west moving about 3 times the speed of a plane&#44 with one light flashing&#44 jumping from position to position.","2005-06-20 00:00:00","42.0083333","-91.6438889"
"2004-08-08 12:00:00","united states","","us","","6312000.0","years","I thought I saw a UFO but it was a homeland security drone.","2004-12-14 00:00:00","37.09024","-95.712891"
